ID,Category and Subcategory,Tea name,50g,100g,250g,Description
1,Schwarztee - Ohne_Aroma - Darjeeling,Darjeeling OP Longview,2,4,9,"milder, aromatischer sf"
2,Schwarztee - Ohne_Aroma - Darjeeling,Darjeeling FTGFOP ff Ambootia,3.45,6.9,16.25,"vollblumig, spritzig in der Tasse"
3,Schwarztee - Ohne_Aroma - Darjeeling,Bio Darjeeling FTGFOP ff Aktiontee,3.75,6.5,10,"Frischer, duftiger Geschmack, helle Tasse, Bio First Flush"
4,Schwarztee - Ohne_Aroma - Darjeeling,Bio Darjeeling Snowview FTGFOP ff,4.25,7.5,17.5,"Vollblumiger, hocharomatischer Bio First Flush"
5,Schwarztee - Ohne_Aroma - Darjeeling,Bio Darjeeling Flugtee ff FTGFOP,6.9,12.9,31.25,"Hocharomatischer first flush, blumig u. spritzig im Geschmack"
,,,,,,
6,Schwarztee - Ohne_Aroma - Assam,Assam FOP Bukhial,2,4,9,Mildwürziger Blatt-tee
7,Schwarztee - Ohne_Aroma - Assam,Assam GFOP Malty „Herrentee“,2.75,4.8,11,"Malziger, herber Herrentee"
8,Schwarztee - Ohne_Aroma - Assam,Assam TGFOP Khomtaie,3.5,6.9,16.25,"Stark getippter Tee, aromatisch und würzig"
9,Schwarztee - Ohne_Aroma - Assam,Assam FTGFOP Meleng,4.7,9,22,"Kräftiger Assam, exquisites Aroma"
,,,,,,
10,Schwarztee - Ohne_Aroma - Ceylon,Ceylon OP Medium,2,4,9,Milder aromatische Tasse
,,,,,,
11,Schwarztee - Ohne_Aroma - Afrika,Kenya GFBOP,2.5,4,9,"Zwischen Blatt und Broken, kräftig-würziger Tee"
,,,,,,
12,Schwarztee - Ohne_Aroma - Oolong,Formosa Fine Oolong,2.75,4.5,10,"Milder, leichter Oolongtee aus Taiwan"
13,Schwarztee - Ohne_Aroma - Oolong,Himmels Oolong,4.95,8.9,21.25,"Feinster, hocharomatischer Oolong"
14,Schwarztee - Ohne_Aroma - Oolong,Milky Oolong,4.95,8.9,21.25,Der wird unter Milchdämpfen gewelkt
15,Schwarztee - Ohne_Aroma - Oolong,Oolong Orangenblüten,2.75,4.5,10,halbfrementierter Tee mit Orangenblüten und Aroma
,,,,,,
16,Schwarztee - Ohne_Aroma - aus_China,Keemun,2.25,3.9,9,Milder Schwarztee mit wenig Teein
17,Schwarztee - Ohne_Aroma - aus_China,Yünan Gold GFOP,2.75,4.5,9,Würzig aromatischer Geschmack
18,Schwarztee - Ohne_Aroma - aus_China,Tarry Lapsang Souchong,2.8,5,11,Kräftiger Rauchtee
,,,,,,
19,Schwarztee - Ohne_Aroma - ohne_teein,Darjeeling Infree OP Blatt,4,7.9,18.75,entkoffeinierter Blatt Tee
20,Schwarztee - Ohne_Aroma - ohne_teein,Ceylan Infree OP Blatt,3.5,6.5,15,entkoffeinierter Blatt Tee
,,,,,,
21,Schwarztee - Ohne_Aroma - Mischungen,Golden Nepal,2,3.9,9,"Kräftig, würzige Darjeeling - Assam Mischung"
